aalib 1.4rc5-12
spice 0.14.0-2
spice-gtk 0.35-1
spotify 1.0.88.353-1
sqlite 3.24.0-1
srt 1.3.1-1
startup-notification 0.12-5
steam 1.0.0.56-1
sudo 1.8.25-1
suitesparse 5.3.0-1
sushi 3.28.3-1
sysfsutils 2.1.0-10
systemd 239.0-2
systemd-sysvcompat 239.0-2
t1lib 5.1.2-6
taglib 1.11.1-1
talloc 2.1.14-1
tar 1.30-1
tcl 8.6.8-3
tdb 1.3.16-1
teamviewer 13.2.13582-9
telepathy-glib 0.24.1-2
tevent 1:0.9.37-1
texinfo 6.5-1
thin-provisioning-tools 0.7.6-1
thunar 1.8.1.11.gf5147445-1
thunar-archive-plugin 0.4.0-1
thunar-media-tags-plugin 0.3.0-1
thunar-volman 0.8.1-2
totem 3.26.2-1
totem-plparser 3.26.1-1
tracker 2.1.3-1
tracker-miners 2.1.3-1
tslib 1.17-1
tumbler 0.2.2-1
twolame 0.3.13-8
tzdata 2018e-2
udisks2 2.8.0-1
unibilium 2.0.0-1
unzip 6.0-12
upower 0.99.8-1
usbmuxd 1.1.0+28+g46bdf3e-1
usbredir 0.7.1-1
usbutils 010-1
uswsusp-git 0.r501.g668c5f7-8
util-linux 2.32.1-2
v4l-utils 1.14.2-1
vde2 2.3.2-11
vi 1:070224-3
vid.stab 1.1-2
vim 8.1.0333-1
vim-runtime 8.1.0333-1
vino 3.22.0+11+g3977943-1
virglrenderer 0.6.0-1
volume_key 0.3.11-2
vte-common 0.52.2-1
vte3 0.52.2-1
vulkan-icd-loader 1.1.82+2958+1f9a54573-1
wavpack 5.1.0-2
wayland 1.16.0-1
wayland-protocols 1.16-1
webkit2gtk 2.20.5-1
webrtc-audio-processing 0.3.1-1
wget 1.19.5-1
which 2.21-2
wildmidi 0.4.2-1
woff2 1.0.2-1
wpa_supplicant 1:2.6-12
x264 2:155.r0a84d986-2
x265 2.8-1
xbitmaps 1.1.2-1
xcb-proto 1.13-2
xcb-util 0.4.0-2
xcb-util-image 0.4.0-2
xcb-util-keysyms 0.4.0-2
xcb-util-renderutil 0.3.9-2
xcb-util-wm 0.4.1-2
xdg-user-dirs 0.17-1
xdg-user-dirs-gtk 0.10+9+g5b7efc6-1
xdg-utils 1.1.3-3
xf86-input-libinput 0.28.0-1
xf86-video-intel 1:2.99.917+847+g25c9a2fc-1
xfburn 0.5.5-1
xfce4-appfinder 4.12.0-4
xfce4-artwork 0.1.1a_git20110420-5
xfce4-battery-plugin 1.1.0-1
xfce4-clipman-plugin 1.4.2-2
xfce4-cpufreq-plugin 1.2.0-1
xfce4-cpugraph-plugin 1.0.5-4
xfce4-datetime-plugin 0.7.0-1
xfce4-dict 0.8.1-1
xfce4-diskperf-plugin 2.6.1-1
xfce4-eyes-plugin 4.5.0-1
xfce4-fsguard-plugin 1.1.0-1
xfce4-genmon-plugin 4.0.1-1
xfce4-mailwatch-plugin 1.2.0-7
xfce4-mount-plugin 1.1.3-1
xfce4-mpc-plugin 0.5.0-1
xfce4-netload-plugin 1.3.1-1
xfce4-notes-plugin 1.8.1-2
xfce4-notifyd 0.4.2-1
xfce4-panel 4.12.2-1
xfce4-power-manager 1.6.1-1
xfce4-pulseaudio-plugin 0.4.1-1
xfce4-screenshooter 1.9.3-1
xfce4-sensors-plugin 1.3.0-1
xfce4-session 4.12.1-8
xfce4-settings 4.12.4-1
xfce4-smartbookmark-plugin 0.5.0-1
xfce4-systemload-plugin 1.2.1-1
xfce4-taskmanager 1.2.1-1
